Date,Open,High,Low,Close,Volume,Currency
2021-09-14,21909.7,22031.4,21544.5,21544.5,12157700,VND
2021-09-15,21138.8,21787.9,21138.8,21706.8,14992300,VND
2021-09-16,21787.9,21787.9,21341.6,21382.2,9053200,VND
2021-09-17,21422.8,22518.3,21341.6,22031.4,30227200,VND
2021-09-20,22274.8,22437.1,21706.8,21747.3,17436800,VND
2021-09-21,21463.3,21666.2,21138.8,21463.3,18105700,VND
2021-09-22,21503.9,21706.8,21098.2,21666.2,13605500,VND
2021-09-23,21869.1,22112.5,21585.1,21747.3,13070400,VND
2021-09-24,21585.1,21747.3,21341.6,21341.6,7545100,VND
2021-09-27,21382.2,21503.9,20367.9,20367.9,22495800,VND
2021-09-28,20327.3,20976.5,20165.0,20895.3,11685500,VND
2021-09-29,20692.4,20773.6,20449.0,20611.3,10341300,VND
2021-09-30,20651.9,20895.3,20449.0,20692.4,8682800,VND
2021-10-01,20489.6,20733.0,20083.8,20083.8,18136500,VND
2021-10-04,19901.3,19962.1,19394.1,19678.1,21733700,VND
2021-10-05,20002.7,20814.2,19921.6,20530.2,18358100,VND
2021-10-06,20692.4,20692.4,20408.4,20530.2,7804600,VND
2021-10-07,20611.3,20895.3,20246.1,20692.4,12209700,VND
2021-10-08,20733.0,21017.0,20611.3,20814.2,10917200,VND
2021-10-11,21017.0,21301.1,20814.2,21219.9,10228400,VND
2021-10-12,21301.1,21301.1,20976.5,21057.6,9126900,VND
2021-10-13,21098.2,21260.5,20651.9,20814.2,8701300,VND
2021-10-14,20814.2,21098.2,20530.2,20814.2,21234800,VND
2021-10-15,20895.3,21098.2,20814.2,20895.3,10035400,VND
2021-10-18,20935.9,21666.2,20854.7,21544.5,25662100,VND
2021-10-19,21585.1,22112.5,21382.2,21747.3,16194100,VND
2021-10-20,21909.7,21909.7,21179.3,21503.9,15026800,VND
2021-10-21,21747.3,21747.3,21301.1,21503.9,10117200,VND
2021-10-22,21503.9,21544.5,21057.6,21179.3,15666200,VND
2021-10-25,21098.2,21138.8,20530.2,20530.2,19035600,VND
2021-10-26,20286.7,20854.7,20185.3,20773.6,8923800,VND
2021-10-27,21017.0,21706.8,20773.6,21706.8,17436300,VND
2021-10-28,21990.8,23126.8,21950.2,22842.8,41777800,VND
2021-10-29,23045.7,23370.3,22599.4,23126.8,20993100,VND
2021-11-01,23329.7,24141.2,23167.4,23978.9,27425300,VND
2021-11-02,23978.9,24952.7,23573.2,24587.5,21994400,VND
2021-11-03,24587.5,25033.8,24060.0,24262.9,25276900,VND
